kategorija;usluga;duljina_kose;sidrena_cijena_eur_10_9_2026;cijena_eur;napomena;azurirano
Boja i pramenovi;HTO, pranje, šišanje i frizura;duga;;42,00;Osvježavanje tona;21. 9. 2026.
Boja i pramenovi;Preljev / toner;;;20,00;;21. 9. 2026.
Boja i pramenovi;Skidanje boje;kratka;;22,00;;21. 9. 2026.
Boja i pramenovi;Skidanje boje;poluduga;;32,00;;21. 9. 2026.
Boja i pramenovi;Skidanje boje;duga;;45,00;;21. 9. 2026.
Boja i pramenovi;Pramenovi, pranje i frizura;kratka;;55,00;;21. 9. 2026.
Boja i pramenovi;Pramenovi, pranje i frizura;poluduga;;62,00;;21. 9. 2026.
Boja i pramenovi;Pramenovi, pranje i frizura;duga;;72,00;;21. 9. 2026.
Boja i pramenovi;Pramenovi, pranje, šišanje i frizura;kratka;;62,00;;21. 9. 2026.
Boja i pramenovi;Pramenovi, pranje, šišanje i frizura;poluduga;;72,00;;21. 9. 2026.
Boja i pramenovi;Pramenovi, pranje, šišanje i frizura;duga;;85,00;;21. 9. 2026.
Boja i pramenovi;Dvobojni pramenovi, šišanje i frizura;kratka;;70,00;;21. 9. 2026.
Boja i pramenovi;Dvobojni pramenovi, šišanje i frizura;poluduga;;80,00;;21. 9. 2026.
Boja i pramenovi;Dvobojni pramenovi, šišanje i frizura;duga;;92,00;;21. 9. 2026.
Boja i pramenovi;Pramenovi cijelom dužinom, šišanje i frizura;kratka;;72,00;;21. 9. 2026.
Boja i pramenovi;Pramenovi cijelom dužinom, šišanje i frizura;poluduga;;85,00;;21. 9. 2026.
Boja i pramenovi;Pramenovi cijelom dužinom, šišanje i frizura;duga;;100,00;;21. 9. 2026.
Boja i pramenovi;Balayage / airtouch;kratka;;85,00;Uz preljev i njegu;21. 9. 2026.
Boja i pramenovi;Balayage / airtouch;poluduga;;100,00;Uz preljev i njegu;21. 9. 2026.
Boja i pramenovi;Balayage / airtouch;duga;;120,00;Uz preljev i njegu;21. 9. 2026.
Njega kose;Botoks tretman za kosu;kratka;;25,00;;21. 9. 2026.
Njega kose;Botoks tretman za kosu;poluduga;;30,00;;21. 9. 2026.
Njega kose;Botoks tretman za kosu;duga;;35,00;;21. 9. 2026.
Njega kose;Keratinsko zaglađivanje;kratka;;90,00;;21. 9. 2026.
Njega kose;Keratinsko zaglađivanje;poluduga;;110,00;;21. 9. 2026.
Njega kose;Keratinsko zaglađivanje;duga;;130,00;;21. 9. 2026.
Njega kose;Moroccanoil tretman;;;15,00;;21. 9. 2026.
Njega kose;Maska za kosu;;;6,00;;21. 9. 2026.
Njega kose;Ampula za kosu;;;10,00;;21. 9. 2026.
Njega kose;Suho pranje kose;;;10,00;;21. 9. 2026.
Ekstenzije;Konzultacija za ekstenzije;;;0,00;Metoda, boja i količina;21. 9. 2026.
Ekstenzije;Ugradnja — keratinski bondovi;;;250,00;Ovisi o količini kose;21. 9. 2026.
Ekstenzije;Ugradnja — tape-in trake;;;180,00;;21. 9. 2026.
Ekstenzije;Ugradnja — mikroringovi;;;220,00;;21. 9. 2026.
Ekstenzije;Pomak / korekcija;;;90,00;Svakih 8–10 tjedana;21. 9. 2026.
Ekstenzije;Skidanje ekstenzija;;;45,00;;21. 9. 2026.
Ekstenzije;Pranje i njega ekstenzija;;;25,00;;21. 9. 2026.
Mladenke i šminka;Proba frizure i šminke;;;70,00;4–6 tjedana prije;21. 9. 2026.
Mladenke i šminka;Mladenka — frizura i šminka;;;180,00;;21. 9. 2026.
Mladenke i šminka;Dolazak na adresu;;;60,00;Unutar Zagreba;21. 9. 2026.
Mladenke i šminka;Frizura ili šminka za pratnju;;;40,00;po osobi;21. 9. 2026.
Mladenke i šminka;Dnevna šminka;;;30,00;;21. 9. 2026.
Mladenke i šminka;Večernja šminka;;;40,00;;21. 9. 2026.
Nokti;Manikura;;;15,00;;21. 9. 2026.
Nokti;SPA manikura;;;22,00;;21. 9. 2026.
Nokti;Manikura za muškarce;;;15,00;;21. 9. 2026.
Nokti;Trajni lak;;;25,00;;21. 9. 2026.
Nokti;Skidanje i stavljanje trajnog laka;;;32,00;;21. 9. 2026.
Nokti;Skidanje trajnog laka;;;12,00;;21. 9. 2026.
Nokti;Geliranje prirodnih noktiju;;;35,00;;21. 9. 2026.
Nokti;Ugradnja umjetnih noktiju;;;45,00;;21. 9. 2026.
Nokti;Produljivanje šablonom i tipsama;;;45,00;;21. 9. 2026.
Nokti;Korekcija (međunjega);;;28,00;;21. 9. 2026.
Nokti;Skidanje gela;;;18,00;;21. 9. 2026.
Nokti;Popravak jednog nokta;;;5,00;;21. 9. 2026.
Nokti;Lakiranje;;;6,00;;21. 9. 2026.
Nokti;French s lakom;;;8,00;;21. 9. 2026.
Nokti;Ukrašavanje noktiju;;;3,00;;21. 9. 2026.
Obrve i trepavice;Oblikovanje obrva;;;7,00;;21. 9. 2026.
Obrve i trepavice;Bojanje obrva;;;7,00;;21. 9. 2026.
Obrve i trepavice;Oblikovanje i bojanje obrva;;;12,00;;21. 9. 2026.
Obrve i trepavice;Bojanje trepavica;;;9,00;;21. 9. 2026.
Solarij;M-50 Basic;;;0,40 € / min;;21. 9. 2026.
Solarij;Avantgarde 600;;;0,60 € / min;;21. 9. 2026.
